إداري,موظف قطاع خاص,موظف
إداري,موظف قطاع عام,موظف
تعليمي,تعليمي,أستاذ
تعليمي,تعليمي,دكتور جامعة
تجاري,تاجر,تجارة عامة
تجاري,تاجر,تجارة مواد غذائية
تجاري,تاجر,تجارة مواد بناء
تجاري,تاجر,تجارة الألبسة
تجاري,تاجر,تجارة السيارات والدراجات
تجاري,تاجر,قطع غيار سيارات جديدة ومستعملة
تجاري,تاجر,تجارة البيض
تجاري,تاجر,اللحوم والدواجن
تجاري,تاجر,تجارة المواشي والأعلاف
تجاري,تاجر,تجارة مواد زراعية
تجاري,مكتبات,مكتبات
تجاري,مكتبات,قرطاسية
تجاري,مجوهرات وحلي,بيع المجوهرات والحلي
تجاري,تجهيزات مكتبية,تجهيزات مكتبية
تجاري,ستائر ومفروشات,ستائر
تجاري,ستائر ومفروشات,مفروشات و ديكور منزلي
تجاري,بناء و اكساء,مواد بناء
تجاري,بناء و اكساء,مواد إكساء
تجاري,بناء و اكساء,تجهيزات إنارة
تجاري,قطع الغيار,تجارة قطع غيار السيارات
تجاري,قطع الغيار,تجارة قطع تبديل المعدات
تجاري,المشروبات,تجارة المشروبات
تجاري,الكابلات والأسلاك,تجارة الكابلات والأسلاك
تجاري,آلات,تجارة الآلات والمعدات الصناعية
تجاري,غذائيات,توزيع المنتجات الغذائية
تجاري,زيوت ودهون,تجارة الزيوت المعدنية
تعليمي,تعليمي,مدارس
تعليمي,تعليمي,جامعات
تعليمي,تعليمي,معاهد
تعليمي,تعليمي,مراكز تدريب
تعليمي,تعليمي,مدارس خاصة
خدمي,سياحة,فنادق
خدمي,سياحة,مطاعم
خدمي,سياحة,كافيهات
خدمي,سياحة,مكاتب سياحة وسفر
خدمي,سياحة,منتزهات
خدمي,خدمي,محطات وقود وتوزيع محروقات
خدمي,خدمي,شركات نقل
خدمي,الطاقة البديلة,تركيب وصيانة الطاقة البديلة
خدمي,خدمي,شركات تخزين
خدمي,سياحة,تنظيم الرحلات
خدمي,سياحة,تقديم مشروبات
خدمي,خدمات النقل,شركات النقل والشحن
زراعي,الفلاحين,الفلاحين
زراعي,الفلاحين,مربي مواشي
صناعي,المشروبات,إنتاج العصائر
صناعي,المشروبات,تعبئة المياه المعدنية
صناعي,صناعي,صناعة و تجارة الألمنيوم
صناعي,صناعي,البلاستيك والمطاط
صناعي و تجاري,تجهيزات كهربائية,تجهيزات كهربائية
صناعي,صناعي,تجهيزات إنارة
صناعي,صناعي,مصانع الزيوت والدهون النباتية والحيوانية
صناعي,الطاقة البديلة,مولدات الرياح، الطاقة المتجددة
صناعي,الكابلات والأسلاك,تصنيع الكابلات والأسلاك
صناعي و تجاري,الجلديات,صناعة و تجارة الجلود
صناعي و تجاري,الجلديات,صناعة و تجارة الحقائب والأحزمة
صناعي و تجاري,منتجات التبغ,تجارة منتجات التبغ و صناعتها
صناعي و تجاري,الألبان والأجبان,تصنيع و تجارة الألبان والأجبان
صناعي و تجاري,زيوت ودهون,نصنيع و تجارة الزيوت النباتية والحيوانية
صناعي و تجاري,الأحذية,تصنيع و تجارة الأحذية و مستلزمها
طبي,مراكز طبية,أطباء
طبي,مشافي,مشافي
طبي,مراكز طبية,مراكز استشفاء
طبي,مشافي,طوارئ
طبي,مراكز طبية,مراكز أشعة
طبي,مراكز طبية,عيادات طب الأسنان
طبي,مراكز طبية,مستلزمات طبية
طبي,مراكز طبية,معدات طبية وإشعاعية
طبي,مراكز طبية,تعويضات سنية
طبي,صيدلة,صيدلة
طبي,صيدلة,مستودعات أدوية
طبي,صيدلة,مستلزمات الصيدلة
طبي,مراكز علاج فيزيائي,مراكز معالجة فيزيائية
طبي,مراكز علاج فيزيائي,مراكز تأهيل
طبي,مراكز التحاليل,تحاليل مخبرية
غير محدد,غير عامل,غير عامل
غير محدد,غير موجود في القائمة,
فنون,سينما,سينما و إنتاج الأفلام
فنون,سينما,مونتاج
فنون,سينما,تصوير
فنون,سينما,إخراج
فنون,سينما,تمثيل
فنون,ترفيهية,نوادي رياضية
فنون,ترفيهية,مسابح
قانوني,قانوني,محامي
قانوني,قانوني,قاضي
قانوني,قانوني,مستشار قانوني
قانوني,قانوني,معقب معاملات
مالي,تأمين,خدمات التأمين الصحي
مالي,تأمين,خدمات تأمين شامل
مالي,استثمارات مالية,استثمارات مالية
مالي,استثمارات مالية,وساطة مالية
مالي,استثمارات مالية,استشارات استثمارية و مالية
مالي,استثمارات مالية,البورصة
مالي,المهن المالية والمحاسبية,خدمات المحاسبة
مالي,المهن المالية والمحاسبية,خدمات الضرائب
مستخدم برنامج,JISource company,
مستخدم برنامج,Autoamata4,
مستخدم برنامج,Al Ameen,
خدمات عقارية,مقاولات و بناء,مقاولات و تعهدات
خدمات عقارية,مقاولات و بناء,استشارات عقارية
خدمات عقارية,مقاولات و بناء,مكاتب عقارية
خدمات عقارية,مقاولات و بناء,بناء و اكساء
خدمات عقارية,مقاولات و بناء,مشرف موقع
منظمات و جمعيات,الجمعيات الخيرية,موظف
منظمات و جمعيات,المنظمات الدولية,موظف
مهن حرة,تقني,مبرمج
مهن حرة,تقني,مصمم غرافيك
مهن حرة,تقني,مصمم مواقع
مهن حرة,تقني,محلل بيانات
مهن حرة,حرفي,حداد
مهن حرة,حرفي,نجار
مهن حرة,حرفي,صائغ
مهن حرة,حرفي,فني كهرباء
مهن حرة,حرفي,فني صحية
مهن حرة,حرفي,صيانة أجهزة
مهن حرة,حرفي,إصلاح سيارات
مهن حرة,حرفي,عامل بناء
مهن حرة,مهن حرة,عامل
هندسي,مهندس,مهندس مدني
هندسي,مهندس,مهندس معماري
هندسي,مهندس,مهندس كهربائي
هندسي,استشارات هندسية,استشارات هندسية
هندسي,مهندس,مهندس الكترون
هندسي,مهندس,مهندس اتصالات
هندسي,مهندس,مهندس معلوماتية
هندسي,مهندس,مهندس زراعي
